time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0.26,0.0343215,0.261,1,0,1.0002,-0.965879
0.261,0.034584,0.262,1,0,1.0002,-0.965617
0.262,0.0348475,0.263,1,0,1.0002,-0.965354
0.263,0.035112,0.264,1,0,1.0002,-0.965089
0.264,0.0353775,0.265,1,0,1.0002,-0.964824
0.265,0.035644,0.266,1,0,1.0002,-0.964557
0.266,0.0359115,0.267,1,0,1.0002,-0.96429
0.267,0.03618,0.268,1,0,1.0002,-0.964021
0.268,0.0364495,0.269,1,0,1.0002,-0.963752
0.269,0.03672,0.27,1,0,1.0002,-0.963481
0.27,0.0369915,0.271,1,0,1.0002,-0.96321
0.271,0.037264,0.272,1,0,1.0002,-0.962937
0.272,0.0375375,0.273,1,0,1.0002,-0.962664
0.273,0.037812,0.274,1,0,1.0002,-0.962389
0.274,0.0380875,0.275,1,0,1.0002,-0.962114
0.275,0.038364,0.276,1,0,1.0002,-0.961837
0.276,0.0386415,0.277,1,0,1.0002,-0.96156
0.277,0.03892,0.278,1,0,1.0002,-0.961281
0.278,0.0391994,0.279,1,0,1.0002,-0.961002
0.279,0.0394799,0.28,1,0,1.0002,-0.960721
0.28,0.0397614,0.281,1,0,1.0002,-0.96044
0.281,0.0400439,0.282,1,0,1.0002,-0.960157
0.282,0.0403274,0.283,1,0,1.0002,-0.959874
0.283,0.0406119,0.284,1,0,1.0002,-0.959589
0.284,0.0408974,0.285,1,0,1.0002,-0.959304
0.285,0.0411839,0.286,1,0,1.0002,-0.959017
0.286,0.0414714,0.287,1,0,1.0002,-0.95873
0.287,0.0417599,0.288,1,0,1.0002,-0.958441
0.288,0.0420494,0.289,1,0,1.0002,-0.958152
0.289,0.0423399,0.29,1,0,1.0002,-0.957861
0.29,0.0426314,0.291,1,0,1.0002,-0.95757
0.291,0.0429239,0.292,1,0,1.0002,-0.957277
0.292,0.0432174,0.293,1,0,1.0002,-0.956984
0.293,0.0435119,0.294,1,0,1.0002,-0.956689
0.294,0.0438074,0.295,1,0,1.0002,-0.956394
0.295,0.0441039,0.296,1,0,1.0002,-0.956097
0.296,0.0444014,0.297,1,0,1.0002,-0.9558
0.297,0.0446999,0.298,1,0,1.0002,-0.955501
0.298,0.0449994,0.299,1,0,1.0002,-0.955202
0.299,0.0452999,0.3,1,0,1.0002,-0.954901
0.3,0.0456014,0.301,1,0,1.0002,-0.9546
0.301,0.0459039,0.302,1,0,1.0002,-0.954297
0.302,0.0462074,0.303,1,0,1.0002,-0.953994
0.303,0.0465119,0.304,1,0,1.0002,-0.953689
0.304,0.0468174,0.305,1,0,1.0002,-0.953384
0.305,0.0471239,0.306,1,0,1.0002,-0.953077
